month,region,country,no_of_visitor_arrivals,year
12,Asia,Vietnam,2127,1999
12,Asia,Myanmar,1906,1999
12,Asia,Japan,72312,1999
12,Asia,Hong Kong,21639,1999
12,Asia,"China, People's Republic Of",33475,1999
12,Asia,Taiwan,24967,1999
12,Asia,"Korea, Republic Of",24635,1999
12,Asia,India,26705,1999
12,Asia,Pakistan,2951,1999
12,Asia,"Sri Lanka, Republic Of",6077,1999
12,Asia,Saudi Arabia,790,1999
12,Asia,Kuwait,181,1999
12,Asia,United Arab Emirates,1485,1999
12,Europe,United Kingdom,27688,1999
12,Europe,Germany,12329,1999
12,Europe,France,5349,1999
12,Europe,Italy,2361,1999
12,Europe,Netherlands,4928,1999
12,Europe,Greece,1240,1999
12,Europe,Belgium-luxembourg,1625,1999
12,Europe,Switzerland,3836,1999
12,Europe,Austria,1144,1999
12,Europe,Scandinavia,6687,1999
12,Europe,CIS & Eastern Europe,4500,1999
12,Americas,USA,29133,1999
12,Americas,Canada,6291,1999
12,Oceania,Australia,34663,1999
12,Oceania,New Zealand,5178,1999
1,Asia,Brunei,4138,2000
1,Asia,Indonesia,149528,2000
1,Asia,Malaysia,41261,2000
1,Asia,Philippines,11809,2000
1,Asia,Thailand,15792,2000
1,Asia,Vietnam,1698,2000
1,Asia,Myanmar,1479,2000
1,Asia,Japan,72131,2000
1,Asia,Hong Kong,16288,2000
1,Asia,"China, People's Republic Of",38887,2000
1,Asia,Taiwan,19329,2000
1,Asia,"Korea, Republic Of",32621,2000
1,Asia,India,22301,2000
1,Asia,Pakistan,2598,2000
1,Asia,"Sri Lanka, Republic Of",4136,2000
1,Asia,Saudi Arabia,1441,2000
1,Asia,Kuwait,549,2000
1,Asia,United Arab Emirates,1445,2000
1,Europe,United Kingdom,33617,2000
1,Europe,Germany,15655,2000
1,Europe,France,5683,2000
1,Europe,Italy,4012,2000
1,Europe,Netherlands,6145,2000
1,Europe,Greece,1179,2000
1,Europe,Belgium-luxembourg,1802,2000
1,Europe,Switzerland,4174,2000
1,Europe,Austria,1537,2000
1,Europe,Scandinavia,8436,2000
1,Europe,CIS & Eastern Europe,5499,2000
1,Americas,USA,29748,2000
1,Americas,Canada,6544,2000
1,Oceania,Australia,42006,2000
1,Oceania,New Zealand,5728,2000
2,Asia,Brunei,3538,2000
2,Asia,Indonesia,88342,2000
2,Asia,Malaysia,42072,2000
2,Asia,Philippines,13111,2000
2,Asia,Thailand,16981,2000
2,Asia,Vietnam,3073,2000
2,Asia,Myanmar,1525,2000
2,Asia,Japan,71245,2000
2,Asia,Hong Kong,28265,2000
2,Asia,"China, People's Republic Of",45148,2000
2,Asia,Taiwan,30528,2000
2,Asia,"Korea, Republic Of",28932,2000
2,Asia,India,21597,2000
2,Asia,Pakistan,2944,2000
2,Asia,"Sri Lanka, Republic Of",4256,2000
2,Asia,Saudi Arabia,680,2000
2,Asia,Kuwait,205,2000
2,Asia,United Arab Emirates,958,2000
2,Europe,United Kingdom,40845,2000
2,Europe,Germany,15951,2000
2,Europe,France,7644,2000
2,Europe,Italy,3335,2000
2,Europe,Netherlands,6464,2000
2,Europe,Greece,839,2000
2,Europe,Belgium-luxembourg,1875,2000
2,Europe,Switzerland,4588,2000
2,Europe,Austria,1664,2000
2,Europe,Scandinavia,9493,2000
2,Europe,CIS & Eastern Europe,4298,2000
2,Americas,USA,33919,2000
2,Americas,Canada,7412,2000
2,Oceania,Australia,30932,2000
2,Oceania,New Zealand,4447,2000
3,Asia,Brunei,3628,2000
3,Asia,Indonesia,102620,2000
3,Asia,Malaysia,43849,2000
3,Asia,Philippines,16490,2000
3,Asia,Thailand,22217,2000
3,Asia,Vietnam,2457,2000
3,Asia,Myanmar,1790,2000
3,Asia,Japan,91844,2000
3,Asia,Hong Kong,21513,2000
3,Asia,"China, People's Republic Of",30644,2000
3,Asia,Taiwan,22934,2000
3,Asia,"Korea, Republic Of",30682,2000
3,Asia,India,23847,2000
3,Asia,Pakistan,2950,2000
3,Asia,"Sri Lanka, Republic Of",4531,2000
3,Asia,Saudi Arabia,1754,2000
3,Asia,Kuwait,406,2000
3,Asia,United Arab Emirates,1577,2000
3,Europe,United Kingdom,42812,2000
3,Europe,Germany,16300,2000
3,Europe,France,6592,2000
3,Europe,Italy,3137,2000
3,Europe,Netherlands,6453,2000
3,Europe,Greece,908,2000
3,Europe,Belgium-luxembourg,1881,2000
3,Europe,Switzerland,4090,2000
3,Europe,Austria,1614,2000
3,Europe,Scandinavia,9274,2000
3,Europe,CIS & Eastern Europe,4271,2000
3,Americas,USA,36707,2000
3,Americas,Canada,7808,2000
3,Oceania,Australia,37471,2000
3,Oceania,New Zealand,5390,2000
4,Asia,Brunei,5527,2000
4,Asia,Indonesia,100059,2000
4,Asia,Malaysia,47993,2000
4,Asia,Philippines,19269,2000
4,Asia,Thailand,29985,2000
4,Asia,Vietnam,2830,2000
4,Asia,Myanmar,1971,2000
4,Asia,Japan,60540,2000
4,Asia,Hong Kong,29308,2000
4,Asia,"China, People's Republic Of",36511,2000
4,Asia,Taiwan,27737,2000
4,Asia,"Korea, Republic Of",27237,2000
4,Asia,India,29317,2000
4,Asia,Pakistan,3293,2000
4,Asia,"Sri Lanka, Republic Of",7335,2000
4,Asia,Saudi Arabia,760,2000
4,Asia,Kuwait,233,2000
4,Asia,United Arab Emirates,1361,2000
4,Europe,United Kingdom,40303,2000
4,Europe,Germany,16067,2000
4,Europe,France,6714,2000
4,Europe,Italy,3143,2000
4,Europe,Netherlands,5492,2000
4,Europe,Greece,745,2000
4,Europe,Belgium-luxembourg,1929,2000
4,Europe,Switzerland,4519,2000
4,Europe,Austria,1656,2000
4,Europe,Scandinavia,7870,2000
4,Europe,CIS & Eastern Europe,3615,2000
4,Americas,USA,29099,2000
4,Americas,Canada,5610,2000
4,Oceania,Australia,41391,2000
4,Oceania,New Zealand,7992,2000
5,Asia,Brunei,4586,2000
5,Asia,Indonesia,91843,2000
5,Asia,Malaysia,48783,2000
5,Asia,Philippines,18790,2000
5,Asia,Thailand,21959,2000
5,Asia,Vietnam,2246,2000
5,Asia,Myanmar,1831,2000
5,Asia,Japan,62152,2000
5,Asia,Hong Kong,20822,2000
5,Asia,"China, People's Republic Of",37934,2000
5,Asia,Taiwan,23635,2000
5,Asia,"Korea, Republic Of",30739,2000
5,Asia,India,43879,2000
5,Asia,Pakistan,3199,2000
5,Asia,"Sri Lanka, Republic Of",4939,2000
5,Asia,Saudi Arabia,734,2000
5,Asia,Kuwait,180,2000
5,Asia,United Arab Emirates,1115,2000
5,Europe,United Kingdom,27903,2000
5,Europe,Germany,12535,2000
5,Europe,France,5207,2000
5,Europe,Italy,2565,2000
5,Europe,Netherlands,4978,2000
5,Europe,Greece,800,2000
5,Europe,Belgium-luxembourg,1445,2000
5,Europe,Switzerland,3547,2000
5,Europe,Austria,1196,2000
5,Europe,Scandinavia,5087,2000
5,Europe,CIS & Eastern Europe,3240,2000
5,Americas,USA,30033,2000
5,Americas,Canada,4919,2000
5,Oceania,Australia,38100,2000
5,Oceania,New Zealand,7703,2000
6,Asia,Brunei,5533,2000
6,Asia,Indonesia,105539,2000
6,Asia,Malaysia,48426,2000
6,Asia,Philippines,14706,2000
6,Asia,Thailand,21446,2000
6,Asia,Vietnam,3251,2000
6,Asia,Myanmar,2062,2000
6,Asia,Japan,67977,2000
6,Asia,Hong Kong,22011,2000
6,Asia,"China, People's Republic Of",30706,2000
6,Asia,Taiwan,26582,2000
6,Asia,"Korea, Republic Of",25318,2000
6,Asia,India,38287,2000
6,Asia,Pakistan,3597,2000
6,Asia,"Sri Lanka, Republic Of",5121,2000
6,Asia,Saudi Arabia,3122,2000
6,Asia,Kuwait,451,2000
6,Asia,United Arab Emirates,1670,2000
6,Europe,United Kingdom,26517,2000
6,Europe,Germany,10815,2000
6,Europe,France,4839,2000
6,Europe,Italy,2540,2000
6,Europe,Netherlands,4931,2000
6,Europe,Greece,881,2000
6,Europe,Belgium-luxembourg,1393,2000
6,Europe,Switzerland,2995,2000
6,Europe,Austria,969,2000
6,Europe,Scandinavia,6294,2000
6,Europe,CIS & Eastern Europe,3269,2000
6,Americas,USA,32944,2000
6,Americas,Canada,4479,2000
6,Oceania,Australia,41563,2000
6,Oceania,New Zealand,8765,2000
7,Asia,Brunei,5448,2000
7,Asia,Indonesia,128207,2000
7,Asia,Malaysia,43423,2000
7,Asia,Philippines,13936,2000
7,Asia,Thailand,20357,2000
7,Asia,Vietnam,2978,2000
7,Asia,Myanmar,1669,2000
7,Asia,Japan,84634,2000
7,Asia,Hong Kong,30218,2000
7,Asia,"China, People's Republic Of",36148,2000
7,Asia,Taiwan,35570,2000
7,Asia,"Korea, Republic Of",32960,2000
7,Asia,India,28127,2000
7,Asia,Pakistan,5159,2000
7,Asia,"Sri Lanka, Republic Of",5171,2000
7,Asia,Saudi Arabia,7175,2000
7,Asia,Kuwait,2029,2000
7,Asia,United Arab Emirates,4001,2000
7,Europe,United Kingdom,34664,2000
7,Europe,Germany,11990,2000
7,Europe,France,7282,2000
7,Europe,Italy,3438,2000
7,Europe,Netherlands,7986,2000
7,Europe,Greece,1294,2000
7,Europe,Belgium-luxembourg,2422,2000
7,Europe,Switzerland,4301,2000
7,Europe,Austria,1464,2000
7,Europe,Scandinavia,8256,2000
7,Europe,CIS & Eastern Europe,3726,2000
7,Americas,USA,34455,2000
7,Americas,Canada,5430,2000
7,Oceania,Australia,48583,2000
7,Oceania,New Zealand,11535,2000
8,Asia,Brunei,6658,2000
8,Asia,Indonesia,96891,2000
8,Asia,Malaysia,43952,2000
8,Asia,Philippines,14168,2000
8,Asia,Thailand,19311,2000
8,Asia,Vietnam,3227,2000
8,Asia,Myanmar,1822,2000
8,Asia,Japan,101785,2000
8,Asia,Hong Kong,31963,2000
8,Asia,"China, People's Republic Of",41162,2000
8,Asia,Taiwan,30732,2000
8,Asia,"Korea, Republic Of",34877,2000
8,Asia,India,26859,2000
8,Asia,Pakistan,4237,2000
8,Asia,"Sri Lanka, Republic Of",6222,2000
8,Asia,Saudi Arabia,5001,2000
8,Asia,Kuwait,2971,2000
8,Asia,United Arab Emirates,3720,2000
8,Europe,United Kingdom,39598,2000
8,Europe,Germany,13193,2000
8,Europe,France,8442,2000
8,Europe,Italy,7709,2000
8,Europe,Netherlands,7284,2000
8,Europe,Greece,1908,2000
8,Europe,Belgium-luxembourg,2291,2000
8,Europe,Switzerland,3575,2000
8,Europe,Austria,1388,2000
8,Europe,Scandinavia,6020,2000
8,Europe,CIS & Eastern Europe,3596,2000
8,Americas,USA,31776,2000
8,Americas,Canada,5884,2000
8,Oceania,Australia,44627,2000
8,Oceania,New Zealand,8205,2000
9,Asia,Brunei,4545,2000
9,Asia,Indonesia,94625,2000
9,Asia,Malaysia,50267,2000
9,Asia,Philippines,13683,2000
9,Asia,Thailand,19266,2000
9,Asia,Vietnam,2584,2000
9,Asia,Myanmar,1655,2000
9,Asia,Japan,89417,2000
9,Asia,Hong Kong,20566,2000
9,Asia,"China, People's Republic Of",31239,2000
9,Asia,Taiwan,19824,2000
9,Asia,"Korea, Republic Of",23207,2000
9,Asia,India,28881,2000
9,Asia,Pakistan,3570,2000
9,Asia,"Sri Lanka, Republic Of",4970,2000
9,Asia,Saudi Arabia,1262,2000
9,Asia,Kuwait,460,2000
9,Asia,United Arab Emirates,1434,2000
9,Europe,United Kingdom,34229,2000
9,Europe,Germany,12813,2000
9,Europe,France,5064,2000
9,Europe,Italy,3329,2000
9,Europe,Netherlands,6372,2000
9,Europe,Greece,1215,2000
9,Europe,Belgium-luxembourg,1951,2000
9,Europe,Switzerland,3367,2000
9,Europe,Austria,978,2000
9,Europe,Scandinavia,5787,2000
9,Europe,CIS & Eastern Europe,3153,2000
9,Americas,USA,28323,2000
9,Americas,Canada,4250,2000
9,Oceania,Australia,49341,2000
9,Oceania,New Zealand,12237,2000
10,Asia,Brunei,3958,2000
10,Asia,Indonesia,105711,2000
10,Asia,Malaysia,45592,2000
10,Asia,Philippines,15216,2000
10,Asia,Thailand,22009,2000
10,Asia,Vietnam,2541,2000
10,Asia,Myanmar,1704,2000
10,Asia,Japan,73383,2000
10,Asia,Hong Kong,21512,2000
10,Asia,"China, People's Republic Of",35195,2000
10,Asia,Taiwan,17685,2000
10,Asia,"Korea, Republic Of",28185,2000
10,Asia,India,29385,2000
10,Asia,Pakistan,3785,2000
10,Asia,"Sri Lanka, Republic Of",4847,2000
10,Asia,Saudi Arabia,1072,2000
10,Asia,Kuwait,290,2000
10,Asia,United Arab Emirates,1168,2000
10,Europe,United Kingdom,40203,2000
10,Europe,Germany,15791,2000
10,Europe,France,5840,2000
10,Europe,Italy,3254,2000
10,Europe,Netherlands,7781,2000
10,Europe,Greece,1305,2000
10,Europe,Belgium-luxembourg,2425,2000
10,Europe,Switzerland,4612,2000
10,Europe,Austria,1223,2000
10,Europe,Scandinavia,8353,2000
10,Europe,CIS & Eastern Europe,3916,2000
10,Americas,USA,32670,2000
10,Americas,Canada,5851,2000
10,Oceania,Australia,48281,2000
10,Oceania,New Zealand,8837,2000
11,Asia,Brunei,4477,2000
11,Asia,Indonesia,94642,2000
11,Asia,Malaysia,50641,2000
11,Asia,Philippines,14967,2000
11,Asia,Thailand,17934,2000
11,Asia,Vietnam,2563,2000
11,Asia,Myanmar,1906,2000
11,Asia,Japan,80889,2000
11,Asia,Hong Kong,21326,2000
11,Asia,"China, People's Republic Of",32999,2000
11,Asia,Taiwan,17034,2000
11,Asia,"Korea, Republic Of",31169,2000
11,Asia,India,27058,2000
11,Asia,Pakistan,3895,2000
11,Asia,"Sri Lanka, Republic Of",5336,2000
11,Asia,Saudi Arabia,756,2000
11,Asia,Kuwait,216,2000
11,Asia,United Arab Emirates,1097,2000
11,Europe,United Kingdom,42316,2000
11,Europe,Germany,16171,2000
11,Europe,France,6041,2000
11,Europe,Italy,3071,2000
11,Europe,Netherlands,7156,2000
11,Europe,Greece,934,2000
11,Europe,Belgium-luxembourg,2284,2000
11,Europe,Switzerland,4511,2000
11,Europe,Austria,1307,2000
11,Europe,Scandinavia,8538,2000
11,Europe,CIS & Eastern Europe,4374,2000
11,Americas,USA,33171,2000
11,Americas,Canada,6681,2000
11,Oceania,Australia,42794,2000
11,Oceania,New Zealand,6859,2000
12,Asia,Brunei,5877,2000
12,Asia,Indonesia,155309,2000
12,Asia,Malaysia,58491,2000
12,Asia,Philippines,14887,2000
12,Asia,Thailand,19493,2000
12,Asia,Vietnam,2389,2000
12,Asia,Myanmar,2677,2000
12,Asia,Japan,73898,2000
12,Asia,Hong Kong,22183,2000
12,Asia,"China, People's Republic Of",37762,2000
12,Asia,Taiwan,19314,2000
12,Asia,"Korea, Republic Of",28426,2000
12,Asia,India,26818,2000
12,Asia,Pakistan,3268,2000
12,Asia,"Sri Lanka, Republic Of",6306,2000
12,Asia,Saudi Arabia,994,2000
12,Asia,Kuwait,231,2000
12,Asia,United Arab Emirates,1471,2000
12,Europe,United Kingdom,41969,2000
12,Europe,Germany,12127,2000
12,Europe,France,5425,2000
12,Europe,Italy,2697,2000
12,Europe,Netherlands,6284,2000
12,Europe,Greece,1162,2000
12,Europe,Belgium-luxembourg,2200,2000
12,Europe,Switzerland,4044,2000
12,Europe,Austria,983,2000
12,Europe,Scandinavia,8164,2000
12,Europe,CIS & Eastern Europe,4187,2000
12,Americas,USA,32740,2000
12,Americas,Canada,6525,2000
12,Oceania,Australia,45258,2000
12,Oceania,New Zealand,6576,2000
1,Asia,Brunei,3830,2001
1,Asia,Indonesia,115824,2001
1,Asia,Malaysia,45594,2001
1,Asia,Philippines,12562,2001
1,Asia,Thailand,17330,2001
1,Asia,Vietnam,2629,2001
1,Asia,Myanmar,1713,2001
1,Asia,Japan,65381,2001
1,Asia,Hong Kong,27778,2001
1,Asia,"China, People's Republic Of",56460,2001
1,Asia,Taiwan,20418,2001
1,Asia,"Korea, Republic Of",32727,2001
1,Asia,India,23699,2001
1,Asia,Pakistan,3123,2001
1,Asia,"Sri Lanka, Republic Of",4176,2001
1,Asia,Saudi Arabia,1114,2001
1,Asia,Kuwait,532,2001
1,Asia,United Arab Emirates,1321,2001
1,Europe,United Kingdom,45231,2001
1,Europe,Germany,12891,2001
1,Europe,France,5384,2001
1,Europe,Italy,3023,2001
1,Europe,Netherlands,6299,2001
1,Europe,Greece,1079,2001
1,Europe,Belgium-luxembourg,1740,2001
1,Europe,Switzerland,4065,2001
1,Europe,Austria,1241,2001
1,Europe,Scandinavia,8790,2001
1,Europe,CIS & Eastern Europe,5947,2001
1,Americas,USA,33297,2001
1,Americas,Canada,7071,2001
1,Oceania,Australia,50416,2001
1,Oceania,New Zealand,7220,2001
2,Asia,Brunei,4373,2001
2,Asia,Indonesia,94251,2001
2,Asia,Malaysia,40761,2001
2,Asia,Philippines,14196,2001
2,Asia,Thailand,18039,2001
2,Asia,Vietnam,2211,2001
2,Asia,Myanmar,1639,2001
2,Asia,Japan,72335,2001
2,Asia,Hong Kong,18442,2001
2,Asia,"China, People's Republic Of",36157,2001
2,Asia,Taiwan,20078,2001
2,Asia,"Korea, Republic Of",32777,2001
2,Asia,India,23975,2001
2,Asia,Pakistan,3688,2001
2,Asia,"Sri Lanka, Republic Of",4370,2001
2,Asia,Saudi Arabia,839,2001
2,Asia,Kuwait,345,2001
2,Asia,United Arab Emirates,1076,2001
2,Europe,United Kingdom,44240,2001
2,Europe,Germany,15611,2001
2,Europe,France,6564,2001
2,Europe,Italy,3338,2001
2,Europe,Netherlands,6395,2001
2,Europe,Greece,783,2001
2,Europe,Belgium-luxembourg,1950,2001
2,Europe,Switzerland,4248,2001
2,Europe,Austria,1308,2001
2,Europe,Scandinavia,9166,2001
2,Europe,CIS & Eastern Europe,4267,2001
2,Americas,USA,31381,2001
2,Americas,Canada,6815,2001
2,Oceania,Australia,36260,2001
2,Oceania,New Zealand,5227,2001
3,Asia,Brunei,4668,2001
3,Asia,Indonesia,110821,2001
3,Asia,Malaysia,47514,2001
3,Asia,Philippines,17002,2001
3,Asia,Thailand,22656,2001
3,Asia,Vietnam,2490,2001
3,Asia,Myanmar,1808,2001
3,Asia,Japan,85655,2001
3,Asia,Hong Kong,27025,2001
3,Asia,"China, People's Republic Of",30320,2001
3,Asia,Taiwan,16438,2001
3,Asia,"Korea, Republic Of",32441,2001
3,Asia,India,27300,2001
3,Asia,Pakistan,3861,2001
3,Asia,"Sri Lanka, Republic Of",4970,2001
3,Asia,Saudi Arabia,1440,2001
3,Asia,Kuwait,469,2001
3,Asia,United Arab Emirates,1647,2001
3,Europe,United Kingdom,49496,2001
3,Europe,Germany,18041,2001
3,Europe,France,6353,2001
3,Europe,Italy,2930,2001
3,Europe,Netherlands,6978,2001
3,Europe,Greece,764,2001
3,Europe,Belgium-luxembourg,2088,2001
3,Europe,Switzerland,4061,2001
3,Europe,Austria,1407,2001
3,Europe,Scandinavia,9359,2001
3,Europe,CIS & Eastern Europe,4361,2001
3,Americas,USA,35194,2001
3,Americas,Canada,7461,2001
3,Oceania,Australia,41910,2001
3,Oceania,New Zealand,5854,2001
4,Asia,Brunei,6392,2001
4,Asia,Indonesia,94613,2001
4,Asia,Malaysia,45923,2001
4,Asia,Philippines,21009,2001
4,Asia,Thailand,27816,2001
4,Asia,Vietnam,2684,2001
4,Asia,Myanmar,2211,2001
4,Asia,Japan,58348,2001
4,Asia,Hong Kong,25816,2001
4,Asia,"China, People's Republic Of",37542,2001
4,Asia,Taiwan,19756,2001
4,Asia,"Korea, Republic Of",30150,2001
4,Asia,India,28454,2001
4,Asia,Pakistan,4173,2001
4,Asia,"Sri Lanka, Republic Of",6058,2001
4,Asia,Saudi Arabia,850,2001
4,Asia,Kuwait,209,2001
4,Asia,United Arab Emirates,1434,2001
4,Europe,United Kingdom,40964,2001
4,Europe,Germany,15126,2001
4,Europe,France,6434,2001
4,Europe,Italy,2316,2001
4,Europe,Netherlands,5334,2001
4,Europe,Greece,687,2001
4,Europe,Belgium-luxembourg,1793,2001
4,Europe,Switzerland,4020,2001
4,Europe,Austria,1081,2001
4,Europe,Scandinavia,7475,2001
4,Europe,CIS & Eastern Europe,3647,2001
4,Americas,USA,27734,2001
4,Americas,Canada,5537,2001
4,Oceania,Australia,45145,2001
4,Oceania,New Zealand,7561,2001
5,Asia,Brunei,4867,2001
5,Asia,Indonesia,99026,2001
5,Asia,Malaysia,53572,2001
5,Asia,Philippines,19195,2001
5,Asia,Thailand,25807,2001
5,Asia,Vietnam,2340,2001
5,Asia,Myanmar,1595,2001
5,Asia,Japan,58984,2001
5,Asia,Hong Kong,19806,2001
5,Asia,"China, People's Republic Of",41999,2001
5,Asia,Taiwan,16381,2001
5,Asia,"Korea, Republic Of",28842,2001
5,Asia,India,41233,2001
5,Asia,Pakistan,3991,2001
5,Asia,"Sri Lanka, Republic Of",4826,2001
5,Asia,Saudi Arabia,1007,2001
5,Asia,Kuwait,256,2001
5,Asia,United Arab Emirates,1283,2001
5,Europe,United Kingdom,28245,2001
5,Europe,Germany,13585,2001
5,Europe,France,5746,2001
5,Europe,Italy,2294,2001
5,Europe,Netherlands,5347,2001
5,Europe,Greece,635,2001
5,Europe,Belgium-luxembourg,1878,2001
5,Europe,Switzerland,3198,2001
5,Europe,Austria,793,2001
5,Europe,Scandinavia,4855,2001
5,Europe,CIS & Eastern Europe,3978,2001
5,Americas,USA,29411,2001
5,Americas,Canada,5475,2001
5,Oceania,Australia,45091,2001
5,Oceania,New Zealand,8321,2001
6,Asia,Brunei,5522,2001
6,Asia,Indonesia,109705,2001
6,Asia,Malaysia,52523,2001
6,Asia,Philippines,15870,2001
6,Asia,Thailand,22556,2001
6,Asia,Vietnam,3043,2001
6,Asia,Myanmar,1962,2001
6,Asia,Japan,64582,2001
6,Asia,Hong Kong,23752,2001
6,Asia,"China, People's Republic Of",31882,2001
6,Asia,Taiwan,19445,2001
6,Asia,"Korea, Republic Of",26914,2001
6,Asia,India,36281,2001
6,Asia,Pakistan,4702,2001
6,Asia,"Sri Lanka, Republic Of",4227,2001
6,Asia,Saudi Arabia,2502,2001
6,Asia,Kuwait,471,2001
6,Asia,United Arab Emirates,1770,2001
6,Europe,United Kingdom,27897,2001
6,Europe,Germany,10973,2001
6,Europe,France,4920,2001
6,Europe,Italy,2342,2001
6,Europe,Netherlands,5253,2001
6,Europe,Greece,796,2001
6,Europe,Belgium-luxembourg,1491,2001
6,Europe,Switzerland,2840,2001
6,Europe,Austria,770,2001
6,Europe,Scandinavia,6022,2001
6,Europe,CIS & Eastern Europe,3761,2001
6,Americas,USA,31692,2001
6,Americas,Canada,4652,2001
6,Oceania,Australia,46600,2001
6,Oceania,New Zealand,9345,2001
7,Asia,Brunei,6083,2001
7,Asia,Indonesia,135816,2001
7,Asia,Malaysia,47020,2001
7,Asia,Philippines,14460,2001
7,Asia,Thailand,21522,2001
7,Asia,Vietnam,3618,2001
7,Asia,Myanmar,1754,2001
7,Asia,Japan,76373,2001
7,Asia,Hong Kong,24929,2001
7,Asia,"China, People's Republic Of",45570,2001
7,Asia,Taiwan,25185,2001
7,Asia,"Korea, Republic Of",34830,2001
7,Asia,India,28493,2001
7,Asia,Pakistan,6358,2001
7,Asia,"Sri Lanka, Republic Of",4731,2001
7,Asia,Saudi Arabia,8469,2001
7,Asia,Kuwait,2316,2001
7,Asia,United Arab Emirates,4095,2001
7,Europe,United Kingdom,36151,2001
7,Europe,Germany,12761,2001
7,Europe,France,7441,2001
7,Europe,Italy,3514,2001
7,Europe,Netherlands,7987,2001
7,Europe,Greece,1139,2001
7,Europe,Belgium-luxembourg,2472,2001
7,Europe,Switzerland,4051,2001
7,Europe,Austria,1438,2001
7,Europe,Scandinavia,8220,2001
7,Europe,CIS & Eastern Europe,3918,2001
7,Americas,USA,32865,2001
7,Americas,Canada,5682,2001
7,Oceania,Australia,55458,2001
7,Oceania,New Zealand,11376,2001
8,Asia,Brunei,6596,2001
8,Asia,Indonesia,107481,2001
8,Asia,Malaysia,47436,2001
8,Asia,Philippines,15481,2001
8,Asia,Thailand,22090,2001
8,Asia,Vietnam,3460,2001
8,Asia,Myanmar,1601,2001
8,Asia,Japan,92508,2001
8,Asia,Hong Kong,28515,2001
8,Asia,"China, People's Republic Of",51208,2001
8,Asia,Taiwan,21981,2001
8,Asia,"Korea, Republic Of",35899,2001
8,Asia,India,25302,2001
8,Asia,Pakistan,4748,2001
8,Asia,"Sri Lanka, Republic Of",5202,2001
8,Asia,Saudi Arabia,6121,2001
8,Asia,Kuwait,3088,2001
8,Asia,United Arab Emirates,3754,2001
8,Europe,United Kingdom,39004,2001
8,Europe,Germany,13082,2001
8,Europe,France,8782,2001
8,Europe,Italy,6791,2001
8,Europe,Netherlands,7330,2001
8,Europe,Greece,1986,2001
8,Europe,Belgium-luxembourg,2427,2001
8,Europe,Switzerland,3403,2001
8,Europe,Austria,1377,2001
8,Europe,Scandinavia,6087,2001
8,Europe,CIS & Eastern Europe,4117,2001
8,Americas,USA,28641,2001
8,Americas,Canada,5794,2001
8,Oceania,Australia,45566,2001
8,Oceania,New Zealand,8992,2001
9,Asia,Brunei,4665,2001
9,Asia,Indonesia,98188,2001
9,Asia,Malaysia,53851,2001
9,Asia,Philippines,14553,2001
9,Asia,Thailand,19644,2001
9,Asia,Vietnam,3854,2001
9,Asia,Myanmar,2038,2001
9,Asia,Japan,69850,2001
9,Asia,Hong Kong,20024,2001
9,Asia,"China, People's Republic Of",34386,2001
9,Asia,Taiwan,15218,2001
9,Asia,"Korea, Republic Of",23526,2001
9,Asia,India,27260,2001
9,Asia,Pakistan,3785,2001
9,Asia,"Sri Lanka, Republic Of",4262,2001
9,Asia,Saudi Arabia,1288,2001
9,Asia,Kuwait,437,2001
9,Asia,United Arab Emirates,1442,2001
9,Europe,United Kingdom,33716,2001
9,Europe,Germany,13939,2001
9,Europe,France,4835,2001
9,Europe,Italy,2932,2001
9,Europe,Netherlands,6114,2001
9,Europe,Greece,1306,2001
9,Europe,Belgium-luxembourg,2113,2001
9,Europe,Switzerland,3675,2001
9,Europe,Austria,1141,2001
9,Europe,Scandinavia,5828,2001
9,Europe,CIS & Eastern Europe,4507,2001
9,Americas,USA,22164,2001
9,Americas,Canada,4576,2001
9,Oceania,Australia,53867,2001
9,Oceania,New Zealand,10202,2001
10,Asia,Brunei,4436,2001
10,Asia,Indonesia,115797,2001
10,Asia,Malaysia,43037,2001
10,Asia,Philippines,15289,2001
10,Asia,Thailand,25476,2001
10,Asia,Vietnam,2871,2001
10,Asia,Myanmar,1783,2001
10,Asia,Japan,35970,2001
10,Asia,Hong Kong,19363,2001
10,Asia,"China, People's Republic Of",42586,2001
10,Asia,Taiwan,14259,2001
10,Asia,"Korea, Republic Of",24125,2001
10,Asia,India,25595,2001
10,Asia,Pakistan,1537,2001
10,Asia,"Sri Lanka, Republic Of",4207,2001
10,Asia,Saudi Arabia,458,2001
10,Asia,Kuwait,189,2001
10,Asia,United Arab Emirates,1020,2001
10,Europe,United Kingdom,36163,2001
10,Europe,Germany,15164,2001
10,Europe,France,4945,2001
10,Europe,Italy,2476,2001
10,Europe,Netherlands,6334,2001
10,Europe,Greece,610,2001
10,Europe,Belgium-luxembourg,1929,2001
10,Europe,Switzerland,4561,2001
10,Europe,Austria,1200,2001
10,Europe,Scandinavia,7255,2001
10,Europe,CIS & Eastern Europe,3874,2001
10,Americas,USA,19271,2001
10,Americas,Canada,4786,2001
10,Oceania,Australia,50839,2001
10,Oceania,New Zealand,8449,2001
11,Asia,Brunei,4418,2001
11,Asia,Indonesia,99740,2001
11,Asia,Malaysia,46272,2001
11,Asia,Philippines,14599,2001
11,Asia,Thailand,17845,2001
11,Asia,Vietnam,2929,2001
11,Asia,Myanmar,1622,2001
11,Asia,Japan,32294,2001
